time,lat,lon
2022-08-24T20:56:46Z,42.26193283333333,-70.89244633333335
2022-08-24T20:56:47Z,42.2619345,-70.89244533333333
2022-08-24T20:56:48Z,42.26193516666666,-70.89244583333335
2022-08-24T20:56:49Z,42.261934,-70.89244666666667
2022-08-24T20:56:50Z,42.26193200000001,-70.89244733333334
2022-08-24T20:56:51Z,42.2619285,-70.89244616666667
2022-08-24T20:56:52Z,42.26192666666667,-70.89244616666667
2022-08-24T20:56:53Z,42.261924666666665,-70.89244716666667
2022-08-24T20:56:54Z,42.26192600000001,-70.892449
2022-08-24T20:56:55Z,42.261928,-70.892449
2022-08-24T20:56:56Z,42.261926333333335,-70.89244866666668
2022-08-24T20:56:57Z,42.26192766666667,-70.89244933333333
2022-08-24T20:56:58Z,42.26192966666667,-70.89245300000002
2022-08-24T20:56:59Z,42.261931666666676,-70.89245483333332
2022-08-24T20:57:00Z,42.2619335,-70.89245516666666
2022-08-24T20:57:01Z,42.26193800000001,-70.89245583333334
2022-08-24T20:57:02Z,42.26193983333334,-70.89245616666666
2022-08-24T20:57:03Z,42.261940666666675,-70.8924545
2022-08-24T20:57:04Z,42.26193966666666,-70.89245250000002
2022-08-24T20:57:05Z,42.261940833333334,-70.89245133333333
2022-08-24T20:57:06Z,42.26193933333334,-70.892452
2022-08-24T20:57:07Z,42.26193816666667,-70.89245116666666
2022-08-24T20:57:08Z,42.26193649999999,-70.89244733333334
2022-08-24T20:57:09Z,42.261933000000006,-70.892444
2022-08-24T20:57:10Z,42.26193066666667,-70.89244183333334
2022-08-24T20:57:11Z,42.26192766666667,-70.89244
2022-08-24T20:57:12Z,42.26192700000001,-70.8924375
2022-08-24T20:57:13Z,42.261925500000004,-70.89243566666666
2022-08-24T20:57:14Z,42.26192399999999,-70.892435
2022-08-24T20:57:15Z,42.26192499999999,-70.892437
2022-08-24T20:57:16Z,42.261926833333334,-70.89244
2022-08-24T20:57:17Z,42.26192833333334,-70.892443
2022-08-24T20:57:18Z,42.26193066666667,-70.89244516666666
2022-08-24T20:57:19Z,42.261933166666665,-70.89244683333334
2022-08-24T20:57:20Z,42.261934,-70.89244733333334
2022-08-24T20:57:21Z,42.261931333333344,-70.89244766666667
2022-08-24T20:57:22Z,42.26192966666667,-70.89244700000002
2022-08-24T20:57:23Z,42.26192916666666,-70.8924485
2022-08-24T20:57:24Z,42.26192983333333,-70.89245016666666
2022-08-24T20:57:25Z,42.26193200000001,-70.89245366666667
2022-08-24T20:57:26Z,42.26193416666667,-70.89245733333334
2022-08-24T20:57:28Z,42.26193333333334,-70.8924595
2022-08-24T20:57:29Z,42.261931666666676,-70.89246066666666
2022-08-24T20:57:30Z,42.26193200000001,-70.89245850000002
2022-08-24T20:57:31Z,42.2619315,-70.89245783333334
2022-08-24T20:57:32Z,42.261931333333344,-70.89245733333334
2022-08-24T20:57:33Z,42.26193049999999,-70.892457
2022-08-24T20:57:34Z,42.26193066666667,-70.89245733333334
